Title,Description,Resource Class,Publication State,Website Platform,Endpoint URL,Endpoint Description,Is Harvested,Last Harvested,Accrual Method,Accrual Periodicity,Harvest Workflow,Access Rights,Suppressed Record,ID,Identifier,Code,Tags,Admin Note,Due Date,Due Status,Days Until Due,Website Title,Website Alternative Title,Website Description,Website Display Note,Website Creator,Website Creator ID,Website Publisher,Website Provider,Website Resource Class,Website Resource Type,Website Subject,Website Theme,Website Keyword,Website Language,Website B1G Language,Website Local Collection,Website Temporal Coverage,Website Date Issued,Website Index Year,Website Date Range,Website Spatial Coverage,Website Bounding Box,Website Geometry,Website Centroid,Website GeoNames,Website Coordinate Reference System,Website Spatial Resolution in Meters,Website Spatial Resolution as Text,Website Georeferenced,Website Provenance,Website Publication State,Website Website Platform,Website Endpoint URL,Website Endpoint Description,Website Is Harvested,Website Last Harvested,Website Accrual Method,Website Accrual Periodicity,Website Harvest Workflow,Website Created At,Website Updated At,Website Date Accessioned,Website Date Retired,Website Format,Website File Size,Website B1G Image,Website Member Of,Website Is Part Of,Website Source,Website Is Version Of,Website Replaces,Website Is Replaced By,Website Relation,Website Rights,Website License,Website Rights Holder,Website Access Rights,Website Suppressed Record,Website Deprioritized,Website Mediator,Website Access,Website ID,Website Identifier,Website WxS Identifier,Website Code,Website Tags,Website Admin Note,Effective Harvest Workflow,Website Match Count
Harvest record for Nebraska Game & Parks Map and Data Portal,Harvest record - temporary,Series,draft,ArcGIS Hub,https://data-outdoornebraska.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,harvest_13a-04,13a-04,13a-04,,,2026-03-29,Overdue,-1,Nebraska Game & Parks Map and Data Portal,,ArcGIS Hub site for finding and accessing open data provided by the State of Nebraska,,,,Nebraska,,Websites,Data portals,State government records,,,eng,,,Continually updated resource,,,,Nebraska,"-104.100,40.000,-95.300,43.000","POLYGON((-104.1 43.0, -95.3 43.0, -95.3 40.0, -104.1 40.0, -104.1 43.0))","41.5,-99.69999999999999",,,,,,,published,ArcGIS Hub,https://data-outdoornebraska.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,2025-08-09 22:41:06 -0500,2026-03-29 19:10:23 -0500,,,,,,ba5cc745-21c5-4ae9-954b-72dd8db6815a,,,,,,,,,,Public,,,,,13a-04,https://data-outdoornebraska.opendata.arcgis.com,,13a-04,,,py_arcgis_hub,1
Harvest record for NebraskaMap,Harvest record - temporary,Series,draft,ArcGIS Hub,https://www.nebraskamap.gov/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,harvest_13a-01,13a-01,13a-01,,,2026-03-29,Overdue,-1,NebraskaMap,,ArcGIS Hub site for finding and accessing open data provided by the State of Nebraska,,,,Nebraska,,Websites,Data portals,State government records,,,eng,,,Continually updated resource,,,,Nebraska,"-104.053,40.000,-95.308,43.001","POLYGON((-104.053 43.001, -95.308 43.001, -95.308 40.000, -104.053 40.000, -104.053 43.001))","41.5005,-99.6805",,,,,,,published,ArcGIS Hub,https://www.nebraskamap.gov/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,2021-04-27 13:50:03 -0500,2026-03-29 19:10:03 -0500,,,,,,ba5cc745-21c5-4ae9-954b-72dd8db6815a,,,,,,,,,,Public,,,,,13a-01,https://www.nebraskamap.gov,,13a-01,,,py_arcgis_hub,1
Harvest record for New Jersey Department of Environmental Protection's (NJDEP) Bureau of GIS,Harvest record - temporary,Series,draft,ArcGIS Hub,https://gisdata-njdep.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,harvest_14a-02,14a-02,14a-02,,,2026-03-29,Overdue,-1,New Jersey Department of Environmental Protection's (NJDEP) Bureau of GIS,,Discover and explore web maps and mapping applications that are associated with environmental interests and concerns in New Jersey.,,New Jersey Department of Environmental Protection's Bureau of GIS,,New Jersey,,Websites,Data portals,State government records,Environment,,eng,,,Continually updated resource,,,,New Jersey,"-75.563,38.791,-73.894,41.357","POLYGON((-75.563 41.357, -73.894 41.357, -73.894 38.791, -75.563 38.791, -75.563 41.357))","40.074,-74.7285",,,,,,,published,ArcGIS Hub,https://gisdata-njdep.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-28,Automated retrieval,Weekly,py_arcgis_hub,2025-08-09 22:41:06 -0500,2026-03-29 15:13:33 -0500,,,,,,ba5cc745-21c5-4ae9-954b-72dd8db6815a,,,,,,,,,,Public,,,,,14a-02,https://gisdata-njdep.opendata.arcgis.com,,14a-02,,,py_arcgis_hub,1
Harvest record for New Jersey Geographic Information Network (NJGIN) Open Data Portal,Harvest record - temporary,Series,draft,ArcGIS Hub,https://njogis-newjersey.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,harvest_14a-01,14a-01,14a-01,,,2026-03-29,Overdue,-1,New Jersey Geographic Information Network (NJGIN) Open Data Portal,,ArcGIS Hub site for finding and accessing open data provided by the state of New Jersey,,New Jersey Office of GIS,,New Jersey,,Websites,Data portals,State government records,,,eng,,,Continually updated resource,,,,New Jersey,"-75.563,38.791,-73.894,41.357","POLYGON((-75.563 41.357, -73.894 41.357, -73.894 38.791, -75.563 38.791, -75.563 41.357))","40.074,-74.7285",,,,,,,published,ArcGIS Hub,https://njogis-newjersey.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-28,Automated retrieval,Weekly,py_arcgis_hub,2025-08-09 22:41:06 -0500,2026-03-29 15:13:34 -0500,,,,,,ba5cc745-21c5-4ae9-954b-72dd8db6815a,,,,,,,,,,Public,,,,,14a-01,https://njogis-newjersey.opendata.arcgis.com,,14a-01,,,py_arcgis_hub,1
Harvest record for North Central PA Hub,Harvest record - temporary,Series,draft,ArcGIS Hub,https://regional-planning-northcentral.hub.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,harvest_08f-03,08f-03,08f-03,,,2026-03-29,Overdue,-1,North Central PA Hub,,High quality location-based data from the 6-county North Central Pennsylvania Region.,,"North Central, PA Regional Planning and Development Commission",,Pennsylvania--North Central,,Websites,Data portals,Regional government records,,,eng,,,Continually updated resource,,,,Pennsylvania,"-80.521,39.720,-74.690,42.515","POLYGON((-80.5211 42.5147, -74.6897 42.5147, -74.6897 39.7198, -80.5211 39.7198, -80.5211 42.5147))","41.1175,-77.6055",,,,,,,published,ArcGIS Hub,https://regional-planning-northcentral.hub.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,2025-08-09 22:41:06 -0500,2026-03-29 18:06:31 -0500,,,,,,ba5cc745-21c5-4ae9-954b-72dd8db6815a,,,,,,,,,,Public,,,,,08f-03,https://regional-planning-northcentral.hub.arcgis.com,,08f-03,,,py_arcgis_hub,1
"Harvest record for Oakland County, MI Open data",Harvest record - temporary,Series,draft,ArcGIS Hub,http://accessoakland.oakgov.com/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,harvest_06b-26125,06b-26125,06b-26125,,,2026-03-29,Overdue,-1,"Oakland County, MI Open data",,"ArcGIS Hub site for finding and accessing open data provided by Oakland County, Michigan",,,,Michigan--Oakland County,,Websites,Data portals,County government records,,,eng,,,Continually updated resource,,,,Michigan--Oakland County|Michigan,"-83.689,42.431,-83.083,42.889","POLYGON((-83.689 42.889, -83.083 42.889, -83.083 42.431, -83.689 42.431, -83.689 42.889))","42.66,-83.386",,,,,,,published,ArcGIS Hub,http://accessoakland.oakgov.com/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,2025-08-09 22:41:06 -0500,2026-03-29 17:26:22 -0500,,,,,,ba5cc745-21c5-4ae9-954b-72dd8db6815a,,,,,,,,,,Public,,,,,06b-26125,http://accessoakland.oakgov.com,,06b-26125,,,py_arcgis_hub,1
Harvest record for Omaha/Douglas County GIS Open Data Portal,Harvest record - temporary,Series,draft,ArcGIS Hub,https://data-dogis.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,harvest_13b-31055,13b-31055,13b-31055,,,2026-03-29,Overdue,-1,Omaha/Douglas County GIS Open Data Portal,,"ArcGIS Hub site for finding and accessing open data provided by Douglas County, Nebraska",,,,Nebraska--Omaha,,Websites,Data portals,County government records,,,eng,,,Continually updated resource,,,,Nebraska--Omaha|Nebraska--Douglas County|Nebraska,"-96.473,41.190,-95.871,41.394","POLYGON((-96.473 41.394, -95.871 41.394, -95.871 41.190, -96.473 41.190, -96.473 41.394))","41.292,-96.172",,,,,,,published,ArcGIS Hub,https://data-dogis.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,2025-08-09 22:41:06 -0500,2026-03-29 19:10:43 -0500,,,,,,ba5cc745-21c5-4ae9-954b-72dd8db6815a,,,,,,,,,,Public,,,,,13b-31055,https://data-dogis.opendata.arcgis.com,,13b-31055,,,py_arcgis_hub,1
Harvest record for Open Baltimore,Harvest record - temporary,Series,draft,ArcGIS Hub,https://data.baltimorecity.gov/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,harvest_04c-02,04c-02,04c-02,,,2026-03-29,Overdue,-1,Open Baltimore,,"ArcGIS Hub site for finding and accessing open data provided by Baltimore, Maryland. On this site you will find hundreds of datasets published by the city and our partners for greater transparency, accountability and access. The City of Baltimore invites you to interact with the data by using our dashboards, download content, analyze data, or build apps using our APIs.",,,,Maryland--Baltimore,,Websites,Data portals,Municipal government records,,,eng,,,Continually updated resource,,,,Maryland--Baltimore|Maryland,"-76.720,39.200,-76.530,39.380","POLYGON((-76.720 39.380, -76.530 39.380, -76.530 39.200, -76.720 39.200, -76.720 39.380))","39.290000000000006,-76.625",,,,,,,published,ArcGIS Hub,https://data.baltimorecity.gov/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-28,Automated retrieval,Weekly,py_arcgis_hub,2025-08-09 22:41:06 -0500,2026-03-29 15:13:34 -0500,,,,,,ba5cc745-21c5-4ae9-954b-72dd8db6815a,,,,,,,,,,Public,,,,,04c-02,https://data.baltimorecity.gov,,04c-02,,,py_arcgis_hub,1
Harvest record for Open Data DC,Harvest record - temporary,Series,draft,ArcGIS Hub,https://opendata.dc.gov/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,harvest_04c-01,04c-01,04c-01,,,2026-03-29,Overdue,-1,Open Data DC,,"ArcGIS Hub site for finding and accessing open data provided by Washington, District of Columbia",,,,District of Columbia--Washington,,Websites,Data portals,Municipal government records,,,eng,,,Continually updated resource,,,,District of Columbia--Washington|District of Columbia,"-77.120,38.792,-76.909,38.996","POLYGON((-77.120 38.996, -76.909 38.996, -76.909 38.792, -77.120 38.792, -77.120 38.996))","38.894000000000005,-77.0145",,,,,,,published,ArcGIS Hub,https://opendata.dc.gov/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-28,Automated retrieval,Weekly,py_arcgis_hub,2025-08-09 22:41:06 -0500,2026-03-29 15:13:35 -0500,,,,,,ba5cc745-21c5-4ae9-954b-72dd8db6815a,,,,,,,,,,Public,,,,,04c-01,https://opendata.dc.gov,,04c-01,,,py_arcgis_hub,1
Harvest record for Open Data Kitsap County GIS,Harvest record - temporary,Series,draft,ArcGIS Hub,https://kitsap-od-kitcowa.hub.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,harvest_16b-53035,16b-53035,16b-53035,,,2026-03-29,Overdue,-1,Open Data Kitsap County GIS,,"Discover free public data, tools, and resources from Kitsap County GIS",,,,Washington (State)--Kitsap County,,Websites,Data portals,County government records,,,eng,,,Continually updated resource,,,,Washington (State)--Kitsap County|Washington (State),"-123.040,47.400,-122.430,47.970","POLYGON((-122.45 47.58, -122.45 47.54, -122.48 47.52, -122.54 47.4, -122.8 47.4, -122.8 47.52, -123.04 47.52, -122.93 47.63, -122.85 47.66, -122.76 47.68, -122.76 47.72, -122.72 47.79, -122.6 47.88, -122.64 47.94, -122.61 47.97, -122.5 47.93, -122.43 47.84, -122.44 47.79, -122.43 47.75, -122.46 47.68, -122.45 47.58))","47.685,-122.73500000000001",,,,,,,published,ArcGIS Hub,https://kitsap-od-kitcowa.hub.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-28,Automated retrieval,Weekly,py_arcgis_hub,2025-08-09 22:41:06 -0500,2026-03-29 15:13:35 -0500,,,,,,ba5cc745-21c5-4ae9-954b-72dd8db6815a,,,,,,,,,,Public,,,,,16b-53035,https://kitsap-od-kitcowa.hub.arcgis.com,,16b-53035,,,py_arcgis_hub,1
Harvest record for Open Data Minneapolis,Harvest record - temporary,Series,draft,ArcGIS Hub,https://opendata.minneapolismn.gov/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,harvest_05c-01,05c-01,05c-01,,,2026-03-29,Overdue,-1,Open Data Minneapolis,,"ArcGIS Hub site for finding and accessing open data provided by the City of Minneapolis, Minnesota",,,,Minnesota--Minneapolis,,Websites,Data portals,Municipal government records,,,eng,,,Continually updated resource,,,,Minnesota--Minneapolis|Minnesota,"-93.329,44.890,-93.194,45.051","POLYGON((-93.329 45.051, -93.194 45.051, -93.194 44.890, -93.329 44.890, -93.329 45.051))","44.9705,-93.2615",,,,,,,published,ArcGIS Hub,https://opendata.minneapolismn.gov/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-28,Automated retrieval,Weekly,py_arcgis_hub,2025-08-09 22:41:06 -0500,2026-03-29 15:13:35 -0500,,,,,,ba5cc745-21c5-4ae9-954b-72dd8db6815a,,,,,,,,,,Public,,,,,05c-01,https://opendata.minneapolismn.gov,,05c-01,,,py_arcgis_hub,1
Harvest record for OpenIndy Data Portal,Harvest record - temporary,Series,draft,ArcGIS Hub,http://data.indy.gov/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,harvest_01c-02,01c-02,01c-02,,,2026-03-29,Overdue,-1,OpenIndy Data Portal,,"ArcGIS Hub site for finding and accessing open data provided by the city of Indianapolis and Marion County, Indiana",,,,"City of Indianapolis and Marion County, Indiana",,Websites,Data portals,Municipal government records,,,eng,,,Continually updated resource,,,,Indiana--Indianapolis|Indiana--Marion County|Indiana,"-86.328,39.632,-85.938,39.928","POLYGON((-86.328 39.928, -85.938 39.928, -85.938 39.632, -86.328 39.632, -86.328 39.928))","39.78,-86.13300000000001",,,,,,,published,ArcGIS Hub,http://data.indy.gov/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-28,Automated retrieval,Weekly,py_arcgis_hub,2025-08-09 22:41:06 -0500,2026-03-29 15:13:35 -0500,,,,,,ba5cc745-21c5-4ae9-954b-72dd8db6815a,,,,,,,,,,Public,,,,,01c-02,http://data.indy.gov,,01c-02,,,py_arcgis_hub,1
Harvest record for Opioid Awareness|Peoria City/County Health Department,Harvest record - temporary,Series,draft,ArcGIS Hub,https://opioid-awareness-peoriacountygis.hub.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,harvest_12c-02,12c-02,12c-02,,,2026-03-29,Overdue,-1,Opioid Awareness|Peoria City/County Health Department,,"ArcGIS Hub site for finding and accessing open data provided by the Peoria County Health Department. Enabling a coordinated effort to address opioid addiction and promote treatment alternatives. This site offers a collection of maps and apps used by public health and safety agencies to communicate the severity of the opioid epidemic, promote treatment, alternatives, and understand the effectiveness of response activities.",,Peoria City/County Health Department,,Illinois--Peoria County,,Websites,Data portals,County government records,Health,,eng,,,Continually updated resource,,,,Illinois--Peoria County|Illinois,"-89.989,40.514,-89.447,40.975","POLYGON((-89.989 40.975, -89.447 40.975, -89.447 40.514, -89.989 40.514, -89.989 40.975))","40.7445,-89.718",,,,,,,published,ArcGIS Hub,https://opioid-awareness-peoriacountygis.hub.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,2025-08-09 22:41:06 -0500,2026-03-29 18:34:22 -0500,,,,,,ba5cc745-21c5-4ae9-954b-72dd8db6815a,,,,,,,,,,Public,,,,,12c-02,https://opioid-awareness-peoriacountygis.hub.arcgis.com,,12c-02,,,py_arcgis_hub,1
Harvest record for Oregon GEOHub,Harvest record - temporary,Series,draft,ArcGIS Hub,https://geohub.oregon.gov/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,harvest_17a-01,17a-01,17a-01,,,2026-03-29,Overdue,-1,Oregon GEOHub,,ArcGIS Hub site for finding and accessing open data provided by the state of Oregon.,,State of Oregon,,Oregon,,Websites,Data portals,State government records,,,eng,,,Continually updated resource,,,,Oregon,"-124.570,41.990,-116.460,46.290","POLYGON((-124.57 46.29, -116.46 46.29, -116.46 41.99, -124.57 41.99, -124.57 46.29))","44.14,-120.51499999999999",,,,,,,published,ArcGIS Hub,https://geohub.oregon.gov/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-28,Automated retrieval,Weekly,py_arcgis_hub,2025-08-09 22:41:06 -0500,2026-03-29 15:13:36 -0500,,,,,,ba5cc745-21c5-4ae9-954b-72dd8db6815a,,,,,,,,,,Public,,,,,17a-01,https://geohub.oregon.gov,,17a-01,,,py_arcgis_hub,1
Harvest record for Otter Tail County Maps and Data Hub,Harvest record - temporary,Series,draft,ArcGIS Hub,https://opendata-otcgis.hub.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,harvest_05b-27111,05b-27111,05b-27111,,,2026-03-29,Overdue,-1,Otter Tail County Maps and Data Hub,,"ArcGIS Hub site for finding and accessing open data provided by Otter Tail County, Minnesota. Datasets available include address points, parcels, boundaries, roads, and hydrology as well as other topic categories.",,,,Minnesota--Otter Tail County,,Websites,Data portals,County government records,,Counties geospatial data,eng,,,Continually updated resource,,,,Minnesota--Otter Tail County|Minnesota,"-96.281,46.106,-95.146,46.718","POLYGON((-96.281 46.718, -95.146 46.718, -95.146 46.106, -96.281 46.106, -96.281 46.718))","46.412000000000006,-95.71350000000001",,,,,,,published,ArcGIS Hub,https://opendata-otcgis.hub.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-28,Automated retrieval,Weekly,py_arcgis_hub,2021-04-26 12:02:53 -0500,2026-03-29 15:13:36 -0500,,,,,,ba5cc745-21c5-4ae9-954b-72dd8db6815a,,,,,,,,,,Public,,,,,05b-27111,https://opendata-otcgis.hub.arcgis.com/,,05b-27111,,,py_arcgis_hub,1
Harvest record for Outgamie County Open Data,Harvest record - temporary,Series,draft,ArcGIS Hub,https://data-ocgis.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,harvest_10b-55087,10b-55087,10b-55087,,,2026-03-29,Overdue,-1,Outgamie County Open Data,,"ArcGIS Hub site for finding and accessing open data provided by Outagamie County, Wisconsin",,,,Wisconsin--Outagamie County,,Websites,Data portals,County government records,,,eng,,,Continually updated resource,,,,Wisconsin--Outagamie County|Wisconsin,"-90.045,45.464,-89.046,45.901","POLYGON((-90.045 45.901, -89.046 45.901, -89.046 45.464, -90.045 45.464, -90.045 45.901))","45.682500000000005,-89.5455",,,,,,,published,ArcGIS Hub,https://data-ocgis.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,2025-08-09 22:41:06 -0500,2026-03-29 18:21:30 -0500,,,,,,ba5cc745-21c5-4ae9-954b-72dd8db6815a,,,,,,,,,,Public,,,,,10b-55087,https://data-ocgis.opendata.arcgis.com,,10b-55087,,,py_arcgis_hub,1
Harvest record for PHLmaps,Harvest record - temporary,Series,draft,ArcGIS Hub,http://data-phl.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,harvest_08c-01-2,08c-01-2,08c-01-2,,,2026-03-29,Overdue,-1,PHLmaps,,"ArcGIS Hub site for finding and accessing open data provided by the City of Philadelphia, Pennsylvania",,"City of Philadelphia, Pennsylvania",,Pennsylvania--Philadelphia,,Websites,Data portals,Municipal government records,,,eng,,,Continually updated resource,,,,Pennsylvania--Philadelphia|Pennsylvania,"-75.280,39.867,-74.956,40.138","POLYGON((-75.280 40.138, -74.956 40.138, -74.956 39.867, -75.280 39.867, -75.280 40.138))","40.0025,-75.118",,,,,,,published,ArcGIS Hub,http://data-phl.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,2025-08-09 22:41:06 -0500,2026-03-29 17:49:18 -0500,,,,,,ba5cc745-21c5-4ae9-954b-72dd8db6815a,,,,,,,,,,Public,,,,,08c-01-2,http://data-phl.opendata.arcgis.com,,08c-01-2,,,py_arcgis_hub,1
Harvest record for Pennsylvania Department of Conservation and Natural Resources Open Data Portal,Harvest record - temporary,Series,draft,ArcGIS Hub,https://newdata-dcnr.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,harvest_08a-02,08a-02,08a-02,,,2026-03-29,Overdue,-1,Pennsylvania Department of Conservation and Natural Resources Open Data Portal,,ArcGIS Hub site for finding and accessing open data provided by the Pennsylvania Department of Conservation and Natural Resources,,Pennsylvania Department of Conservation and Natural Resources,,Pennsylvania,,Websites,Data portals,State government records,,DEIA,eng,,,Continually updated resource,,,,Pennsylvania,"-80.521,39.720,-74.690,42.515","POLYGON((-80.521 42.515, -74.690 42.515, -74.690 39.720, -80.521 39.720, -80.521 42.515))","41.1175,-77.6055",,,,,,,published,ArcGIS Hub,https://newdata-dcnr.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,2025-08-09 22:41:06 -0500,2026-03-29 17:45:51 -0500,,,,,,ba5cc745-21c5-4ae9-954b-72dd8db6815a,,,,,,,,,,Public,,,,,08a-02,https://newdata-dcnr.opendata.arcgis.com,,08a-02,,,py_arcgis_hub,1
Harvest record for Pennsylvania Department of Environmental Protection,Harvest record - temporary,Series,draft,ArcGIS Hub,https://newdata-padep-1.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,harvest_08a-03,08a-03,08a-03,,,2026-03-29,Overdue,-1,Pennsylvania Department of Environmental Protection,,ArcGIS Hub site for finding and accessing open data provided by the Pennsylvania Department of Environmental Protection.,,Pennsylvania Department of Environmental Protection,,Pennsylvania,,Websites,Data portals,Environmental records,,,eng,,,Continually updated resource,,,,Pennsylvania,"-80.626,39.720,-74.690,42.332","POLYGON((-80.626 42.332, -74.690 42.332, -74.690 39.720, -80.626 39.720, -80.626 42.332))","41.025999999999996,-77.658",,,,,,,published,ArcGIS Hub,https://newdata-padep-1.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,2025-08-09 22:41:06 -0500,2026-03-29 17:46:21 -0500,,,,,,ba5cc745-21c5-4ae9-954b-72dd8db6815a,,,,,,,,,,Public,,,,,08a-03,https://newdata-padep-1.opendata.arcgis.com,,08a-03,,,py_arcgis_hub,1
Harvest record for Peoria County GIS Open Data Portal,Harvest record - temporary,Series,draft,ArcGIS Hub,https://data-peoriacountygis.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,harvest_12b-17143,12b-17143,12b-17143,,,2026-03-29,Overdue,-1,Peoria County GIS Open Data Portal,,"ArcGIS Hub site for finding and accessing open data provided by Peoria County, Illinois",,,,Illinois--Peoria County,,Websites,Data portals,County government records,,,eng,,,Continually updated resource,,,,Illinois--Peoria County|Illinois,"-89.989,40.513,-89.448,40.975","POLYGON((-89.989 40.975, -89.448 40.975, -89.448 40.513, -89.989 40.513, -89.989 40.975))","40.744,-89.7185",,,,,,,published,ArcGIS Hub,https://data-peoriacountygis.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,2025-08-09 22:41:06 -0500,2026-03-29 18:32:52 -0500,,,,,,ba5cc745-21c5-4ae9-954b-72dd8db6815a,,,,,,,,,,Public,,,,,12b-17143,https://data-peoriacountygis.opendata.arcgis.com,,12b-17143,,,py_arcgis_hub,1
Harvest record for Pickaway County GIS Open Data,Harvest record - temporary,Series,draft,ArcGIS Hub,https://pickawayopendata-pickaway-gis.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,harvest_11b-39129,11b-39129,11b-39129,,,2026-03-29,Overdue,-1,Pickaway County GIS Open Data,,"ArcGIS Hub site for finding and accessing open data provided by Pickaway County, Ohio",,,,Ohio--Pickaway County,,Websites,Data portals,County government records,,,eng,,,Continually updated resource,,,,Ohio--Pickaway County|Ohio,"-83.267,39.468,-82.732,39.812","POLYGON((-83.267 39.812, -82.732 39.812, -82.732 39.468, -83.267 39.468, -83.267 39.812))","39.64,-82.9995",,,,,,,published,ArcGIS Hub,https://pickawayopendata-pickaway-gis.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,2021-04-27 13:50:01 -0500,2026-03-29 18:26:46 -0500,,,,,,ba5cc745-21c5-4ae9-954b-72dd8db6815a,,,,,,,,,,Public,,,,,11b-39129,https://pickawayopendata-pickaway-gis.opendata.arcgis.com/,,11b-39129,,,py_arcgis_hub,1
Harvest record for Pierce County GIS Open Data Portal,Harvest record - temporary,Series,draft,ArcGIS Hub,https://data-piercecounty-wi.hub.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,harvest_10b-55093,10b-55093,10b-55093,,,2026-03-29,Overdue,-1,Pierce County GIS Open Data Portal,,"ArcGIS Hub site for finding and accessing open data provided by Pierce County, Wisconsin",,,,Wisconsin--Pierce County,,Websites,Data portals,County government records,,,eng,,,Continually updated resource,,,,Wisconsin--Pierce County|Wisconsin,"-92.650,44.830,-92.580,44.902","POLYGON((-92.650 44.902, -92.580 44.902, -92.580 44.830, -92.650 44.830, -92.650 44.902))","44.866,-92.61500000000001",,,,,,,published,ArcGIS Hub,https://data-piercecounty-wi.hub.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,2025-08-09 22:41:06 -0500,2026-03-29 18:21:33 -0500,,,,,,ba5cc745-21c5-4ae9-954b-72dd8db6815a,,,,,,,,,,Public,,,,,10b-55093,https://data-piercecounty-wi.hub.arcgis.com,,10b-55093,,,py_arcgis_hub,1
